timestamp,byterate,packnum
1521118807.400005990,4.3177203E+8,46675
1521118807.500005990,3.9101119E+8,42565
1521118807.600005990,3.9685084E+8,43274
1521118807.700005990,3.6986761E+8,41688
1521118807.800005990,4.2354904E+8,44846
1521118807.900005990,4.2191235E+8,44667
1521118808.000005990,4.1726538E+8,43971
1521118808.100005990,4.6905097E+8,48038
1521118808.200005990,4.3450879E+8,46064
1521118808.300005990,4.4224883E+8,46631
1521118808.400005990,4.5687796E+8,47952
1521118808.500005990,4.1869820E+8,44580
1521118808.600005990,4.4987913E+8,47715
1521118808.700005990,4.0529853E+8,44186
1521118808.800005990,4.1462655E+8,44756
1521118808.900005990,4.7894617E+8,49270
1521118809.000005990,4.7508390E+8,49044
1521118809.100005990,4.8621395E+8,49827
1521118809.200005990,4.5650672E+8,47002
1521118809.300005990,4.6429715E+8,47637
1521118809.400005990,4.6494617E+8,47684
1521118809.500005990,4.2748723E+8,44559
1521118809.600005990,4.9792551E+8,49926
1521118809.700005990,4.7186266E+8,48045
1521118809.800005990,4.3518418E+8,45857
1521118809.900005990,4.7338968E+8,48284
1521118810.000005990,4.4445492E+8,46115
1521118810.100005990,4.7479498E+8,48343
1521118810.200005990,4.9694536E+8,49754
1521118810.300005990,4.5216698E+8,46559
1521118810.400005990,4.3768870E+8,46386
1521118810.500005990,5.7013500E+8,53948
1521118810.600005990,5.1857700E+8,51573
1521118810.700005990,4.8214918E+8,48991
1521118810.800005990,4.2316010E+8,45043
1521118810.900005990,4.6402823E+8,47902
1521118811.000005990,4.5783277E+8,47284
1521118811.100005990,4.3881079E+8,45718
1521118811.200005990,4.6337842E+8,47403
1521118811.300005990,4.7304602E+8,47581
1521118811.400005990,4.3883974E+8,45910
1521118811.500005990,4.4748208E+8,46178
1521118811.600005990,4.6310938E+8,47192
1521118811.700005990,4.4978500E+8,47115
1521118811.800005990,4.5610862E+8,46518
1521118811.900005990,4.5903062E+8,47007
1521118812.000005990,4.7473542E+8,47997
1521118812.100005990,4.5398743E+8,46352
1521118812.200005990,4.6671320E+8,47859
1521118812.300005990,4.7817849E+8,48404
1521118812.400005990,4.2188056E+8,45063
1521118812.500005990,4.9062714E+8,49300
1521118812.600005990,5.1204718E+8,50820
1521118812.700005990,4.8323311E+8,48791
1521118812.800005990,5.1395802E+8,50512
1521118812.900005990,4.7444052E+8,48073
1521118813.000005990,4.8603105E+8,49196
1521118813.100005990,4.3753179E+8,45496
1521118813.200005990,5.2458435E+8,51474
1521118813.300005990,5.1360723E+8,51148
1521118813.400005990,5.0561644E+8,51089
1521118813.500005990,4.9525388E+8,49964
1521118813.600005990,4.9971904E+8,50259
1521118813.700005990,5.1962000E+8,51931
1521118813.800005990,4.8098339E+8,48819
1521118813.900005990,5.4128551E+8,53053
1521118814.000005990,4.7746947E+8,49117
1521118814.100005990,4.5482198E+8,47365
1521118814.200005990,4.7459441E+8,48459
1521118814.300005990,4.3584689E+8,46187
1521118814.400005990,4.4622131E+8,46265
1521118814.500005990,4.3396017E+8,45891
1521118814.600005990,4.2369694E+8,46257
1521118814.700005990,4.1588959E+8,44542
1521118814.800005990,4.4257136E+8,46522
1521118814.900005990,4.5942316E+8,47805
1521118815.000005990,4.5758217E+8,47744
1521118815.100005990,4.4337338E+8,46175
1521118815.200005990,4.7070242E+8,48006
1521118815.300005990,4.9126896E+8,48838
1521118815.400005990,4.7326175E+8,48063
1521118815.500005990,4.3382059E+8,45123
1521118815.600005990,5.1084647E+8,50024
1521118815.700005990,4.5667595E+8,47013
1521118815.800005990,4.6537081E+8,48786
1521118815.900005990,4.9227209E+8,49703
1521118816.000005990,4.5939295E+8,47756
1521118816.100005990,4.8939842E+8,49676
1521118816.200005990,5.1932630E+8,51704
1521118816.300005990,4.3789458E+8,45922
1521118816.400005990,4.4261604E+8,46368
1521118816.500005990,4.8008112E+8,48600
1521118816.600005990,4.4979079E+8,46516
1521118816.700005990,4.6583798E+8,47581
1521118816.800005990,4.6671907E+8,48486
1521118816.900005990,5.2823735E+8,51782
1521118817.000005990,4.6355636E+8,47560
1521118817.100005990,4.5594315E+8,47860
1521118817.200005990,4.4635904E+8,47019
1521118817.300005990,4.4030121E+8,45634
1521118817.400005990,4.5098681E+8,46616
1521118817.500005990,4.2851990E+8,45279
1521118817.600005990,4.9412652E+8,49261
1521118817.700005990,4.6431175E+8,47929
1521118817.800005990,4.3079721E+8,45436
1521118817.900005990,4.1919313E+8,44299
1521118818.000005990,4.4464444E+8,46966
1521118818.100005990,4.5070056E+8,46350
1521118818.200005990,4.4431277E+8,46492
1521118818.300005990,4.4684507E+8,46065
1521118818.400005990,4.5569034E+8,47321
1521118818.500005990,4.4172822E+8,46520
1521118818.600005990,4.6376016E+8,47702
1521118818.700005990,4.5928773E+8,47021
1521118818.800005990,4.6753294E+8,48333
1521118818.900005990,4.5728221E+8,47351
1521118819.000005990,4.4098726E+8,46462
1521118819.100005990,4.6564660E+8,48220
1521118819.200005990,4.8934373E+8,49243
1521118819.300005990,4.4891609E+8,46633
1521118819.400005990,4.1593373E+8,44560
1521118819.500005990,5.1908437E+8,51527
1521118819.600005990,4.3935410E+8,46183
1521118819.700005990,4.8375188E+8,48771
1521118819.800005990,4.7544036E+8,48717
1521118819.900005990,4.0629956E+8,43340
1521118820.000005990,3.8659115E+8,41777
1521118820.100005990,3.9292759E+8,42217
1521118820.200005990,4.4702223E+8,46008
1521118820.300005990,4.7970965E+8,48382
1521118820.400005990,4.3895216E+8,45451
1521118820.500005990,4.6719249E+8,47347
1521118820.600005990,4.5296165E+8,46281
1521118820.700005990,4.7077969E+8,48406
1521118820.800005990,4.3509133E+8,45887
1521118820.900005990,4.7348278E+8,48489
1521118821.000005990,4.4191808E+8,46390
1521118821.100005990,4.5613094E+8,47001
1521118821.200005990,4.4234022E+8,46419
1521118821.300005990,4.3531483E+8,45374
1521118821.400005990,4.2464127E+8,44981
1521118821.500005990,4.4237148E+8,45621
1521118821.600005990,4.5701240E+8,46981
1521118821.700005990,4.8113851E+8,49359
1521118821.800005990,4.6419469E+8,48686
1521118821.900005990,4.5464585E+8,47089
1521118822.000005990,4.3972946E+8,46351
1521118822.100005990,4.1491310E+8,44368
1521118822.200005990,3.9744554E+8,43145
1521118822.300005990,4.0914515E+8,44461
1521118822.400005990,3.9203403E+8,42836
1521118822.500005990,4.0674068E+8,43742
1521118822.600005990,4.0433791E+8,43291
1521118822.700005990,4.1067746E+8,43559
1521118822.800005990,4.1291502E+8,44185
1521118822.900005990,3.8298076E+8,42410
1521118823.000005990,3.9029427E+8,42302
1521118823.100005990,4.3276707E+8,45337
1521118823.200005990,4.2623184E+8,45120
1521118823.300005990,4.3941421E+8,45980
1521118823.400005990,4.5438818E+8,46935
