timestamp,byteRates01,packNums01
1521118815.080011606,3.586832E+8,4086
1521118815.090007365,4.989968E+8,4929
1521118815.100009270,3.935116E+8,4238
1521118815.110006221,4.451062E+8,4636
1521118815.120006293,4.765065E+8,4923
1521118815.130006649,4.924412E+8,4931
1521118815.140007995,4.968575E+8,4951
1521118815.150006033,4.305986E+8,4540
1521118815.160013095,4.602528E+8,4721
1521118815.170007199,5.677991E+8,5503
1521118815.180016138,4.717083E+8,4834
1521118815.190011725,4.250649E+8,4392
1521118815.200006738,4.406891E+8,4575
1521118815.210009784,5.831676E+8,5476
1521118815.220007181,4.302080E+8,4444
1521118815.230007336,5.648482E+8,5334
1521118815.240009487,4.639166E+8,4767
1521118815.250007145,3.737798E+8,4109
1521118815.260006100,5.066019E+8,5008
1521118815.270007193,4.351055E+8,4493
1521118815.280006163,5.356087E+8,5127
1521118815.290007710,4.730695E+8,4758
1521118815.300007723,5.463838E+8,5322
1521118815.310007609,5.172426E+8,5063
1521118815.320007756,4.244099E+8,4454
1521118815.330006622,5.019766E+8,5089
1521118815.340006970,3.553114E+8,3982
1521118815.350007288,4.888591E+8,4896
1521118815.360006019,4.066983E+8,4426
1521118815.370006762,4.390233E+8,4516
1521118815.380012028,3.995805E+8,4250
1521118815.390009433,6.450518E+8,6079
1521118815.400010437,5.544640E+8,5308
1521118815.410013676,3.555545E+8,3915
1521118815.420006841,3.928392E+8,4345
1521118815.430006638,4.636564E+8,4606
1521118815.440009698,4.632327E+8,4685
1521118815.450007245,4.395867E+8,4497
1521118815.460013896,4.336021E+8,4551
1521118815.470013276,4.842172E+8,4923
1521118815.480006367,4.047064E+8,4415
1521118815.490009569,4.913214E+8,4818
1521118815.500007048,4.094893E+8,4368
1521118815.510006040,5.376552E+8,5278
1521118815.520006165,4.916243E+8,4913
1521118815.530006751,5.711770E+8,5438
1521118815.540008359,5.052608E+8,4997
1521118815.550007105,4.411899E+8,4429
1521118815.560006008,4.905193E+8,4884
1521118815.570006236,4.556630E+8,4580
1521118815.580008455,5.437856E+8,5203
1521118815.590007111,6.673208E+8,6007
1521118815.600009151,4.042688E+8,4295
1521118815.610008635,5.022266E+8,4967
1521118815.620009586,4.030866E+8,4277
1521118815.630006298,4.474398E+8,4683
1521118815.640009247,4.477563E+8,4601
1521118815.650008090,4.030255E+8,4342
1521118815.660006262,4.336204E+8,4434
1521118815.670006029,5.586823E+8,5392
1521118815.680006459,3.835509E+8,4227
1521118815.690006003,4.604084E+8,4765
1521118815.700012125,5.269627E+8,5325
1521118815.710006192,4.806055E+8,4890
1521118815.720009342,4.934303E+8,5187
1521118815.730010293,4.013217E+8,4427
1521118815.740006492,4.415880E+8,4739
1521118815.750015788,5.041581E+8,5155
1521118815.760006614,4.914297E+8,4969
1521118815.770009495,5.087883E+8,5123
1521118815.780009627,4.680143E+8,4829
1521118815.790006474,4.430898E+8,4631
1521118815.800006919,4.212824E+8,4836
1521118815.810006887,4.209723E+8,4496
1521118815.820008293,6.855459E+8,6230
1521118815.830006853,5.148646E+8,5080
1521118815.840006292,5.371250E+8,5266
1521118815.850011878,3.351269E+8,3875
1521118815.860007949,4.273082E+8,4516
1521118815.870006368,4.335865E+8,4596
1521118815.880006194,5.048385E+8,5119
1521118815.890006348,4.784153E+8,4845
1521118815.900007017,5.849377E+8,5680
1521118815.910007045,4.542859E+8,4794
1521118815.920011729,5.099373E+8,5145
1521118815.930012241,4.583033E+8,4789
1521118815.940006122,5.128157E+8,5198
1521118815.950008370,4.664109E+8,4889
1521118815.960007228,4.699786E+8,4705
1521118815.970007844,4.029783E+8,4230
1521118815.980007321,4.293375E+8,4546
1521118815.990006916,4.318460E+8,4652
1521118816.000007614,4.580360E+8,4808
1521118816.010008544,4.237980E+8,4495
1521118816.020006783,4.833100E+8,4948
1521118816.030006342,5.859438E+8,5678
1521118816.040007912,4.347168E+8,4714
1521118816.050006449,4.285333E+8,4575
1521118816.060007818,5.241975E+8,5171
1521118816.070006229,5.540090E+8,5410
1521118816.080006719,5.185454E+8,5182
1521118816.090009190,5.108826E+8,5026
1521118816.100006834,4.300478E+8,4477
1521118816.110006243,4.280345E+8,4496
1521118816.120010398,6.236043E+8,5773
1521118816.130006246,4.227006E+8,4568
1521118816.140006460,4.694004E+8,5081
1521118816.150006115,4.983390E+8,5007
1521118816.160006218,5.787454E+8,5572
1521118816.170006886,5.763559E+8,5533
1521118816.180007234,5.845154E+8,5486
1521118816.190006517,5.790338E+8,5578
1521118816.200008534,4.325337E+8,4610
1521118816.210010014,3.934162E+8,4458
1521118816.220007353,4.699652E+8,4908
1521118816.230006978,4.185652E+8,4495
1521118816.240007386,3.481196E+8,3959
1521118816.250006475,3.565492E+8,4031
1521118816.260006949,3.469531E+8,4011
1521118816.270006761,3.921221E+8,4253
1521118816.280006535,5.687149E+8,5355
1521118816.290008947,6.306447E+8,5860
1521118816.300008520,4.538956E+8,4592
1521118816.310009092,4.953365E+8,5060
1521118816.320009239,4.323660E+8,4636
1521118816.330007650,4.452960E+8,4668
1521118816.340008847,4.685105E+8,4771
1521118816.350007810,4.442130E+8,4645
1521118816.360009290,3.663787E+8,4069
1521118816.370017253,4.270252E+8,4493
1521118816.380006574,4.114955E+8,4571
1521118816.390007541,4.305009E+8,4527
1521118816.400007114,5.050381E+8,4928
1521118816.410006516,3.957550E+8,4224
1521118816.420006722,7.468690E+8,6700
1521118816.430007473,5.992363E+8,5558
1521118816.440009154,5.036666E+8,4955
1521118816.450018384,4.408508E+8,4616
1521118816.460006803,5.233461E+8,5222
1521118816.470006563,3.321098E+8,3824
1521118816.480006605,4.563411E+8,4753
1521118816.490007021,3.768156E+8,4181
1521118816.500007935,4.258209E+8,4567
1521118816.510006085,4.487417E+8,4641
1521118816.520010993,5.262293E+8,5063
1521118816.530007973,4.266582E+8,4397
1521118816.540014066,5.054846E+8,5007
1521118816.550011083,4.553264E+8,4789
1521118816.560007893,4.262401E+8,4600
1521118816.570023917,3.413817E+8,3786
1521118816.580009371,4.096535E+8,4385
1521118816.590009540,4.522125E+8,4755
1521118816.600006111,5.059799E+8,5093
1521118816.610007085,4.105411E+8,4363
1521118816.620010227,5.786581E+8,5624
1521118816.630009070,5.521217E+8,5326
1521118816.640006550,5.060435E+8,5158
1521118816.650006458,5.232173E+8,5156
1521118816.660007052,5.179271E+8,5111
1521118816.670010015,4.700022E+8,4700
1521118816.680006005,3.489376E+8,3862
1521118816.690006696,4.575044E+8,4715
1521118816.700006649,2.934268E+8,3566
1521118816.710015371,4.956343E+8,5169
1521118816.720009483,3.984622E+8,4312
1521118816.730006173,4.506474E+8,4671
1521118816.740009487,5.490616E+8,5474
1521118816.750006400,4.992963E+8,5185
1521118816.760006323,4.274169E+8,4624
1521118816.770006299,4.629084E+8,4913
1521118816.780006796,4.863468E+8,4822
1521118816.790006772,5.605653E+8,5354
1521118816.800007947,3.368515E+8,3962
1521118816.810008414,4.380512E+8,4474
1521118816.820006445,5.001057E+8,5019
1521118816.830006883,6.417201E+8,5975
1521118816.840007007,5.446259E+8,5185
1521118816.850008242,5.725723E+8,5493
1521118816.860005990,4.931948E+8,4899
1521118816.870009027,5.783462E+8,5571
1521118816.880006209,5.312958E+8,5275
1521118816.890007034,6.319549E+8,5853
1521118816.900009319,3.505066E+8,4038
1521118816.910006955,4.054817E+8,4385
1521118816.920009315,4.733199E+8,4865
1521118816.930014759,3.777189E+8,4110
1521118816.940009527,4.716035E+8,4765
1521118816.950007267,4.588605E+8,4707
1521118816.960006446,4.286548E+8,4507
1521118816.970008560,4.644656E+8,4763
1521118816.980006509,4.999877E+8,4906
1521118816.990006417,4.903761E+8,5007
1521118817.000006221,5.650949E+8,5545
1521118817.010007553,5.140443E+8,5113
1521118817.020006210,5.276051E+8,5219
1521118817.030013613,3.945094E+8,4411
1521118817.040006034,4.037178E+8,4570
1521118817.050006121,3.609063E+8,4090
1521118817.060006678,4.990221E+8,4981
1521118817.070006616,4.877098E+8,4982
1521118817.080006272,3.995514E+8,4338
1521118817.090006687,4.880556E+8,4971
1521118817.100009948,4.843097E+8,5185
1521118817.110006765,3.509955E+8,4037
1521118817.120009407,5.952808E+8,5582
1521118817.130012274,4.384432E+8,4699
1521118817.140011333,3.598243E+8,4141
1521118817.150006987,3.629596E+8,4133
1521118817.160012566,4.377725E+8,4723
1521118817.170006365,4.119329E+8,4400
1521118817.180006661,5.332461E+8,5276
1521118817.190006733,5.693063E+8,5538
1521118817.200009525,4.038292E+8,4490
1521118817.210006461,3.453573E+8,3901
1521118817.220006973,3.542110E+8,4032
1521118817.230006985,4.064938E+8,4429
1521118817.240007192,5.354186E+8,5130
1521118817.250006936,4.738739E+8,4730
1521118817.260009147,3.903983E+8,4199
1521118817.270007357,5.058759E+8,4991
1521118817.280006640,5.725233E+8,5454
1521118817.290006049,4.641940E+8,4742
1521118817.300013617,3.546660E+8,4026
1521118817.310009003,4.482926E+8,4580
1521118817.320009410,4.436374E+8,4517
1521118817.330014378,4.451299E+8,4604
1521118817.340006709,4.242805E+8,4603
1521118817.350008138,4.672348E+8,4789
1521118817.360006563,4.638175E+8,4811
1521118817.370009981,3.905052E+8,4242
1521118817.380007185,5.593701E+8,5431
1521118817.390006706,4.089276E+8,4350
1521118817.400006831,4.586725E+8,4689
1521118817.410006523,3.708678E+8,4119
1521118817.420006938,4.932214E+8,4918
1521118817.430008203,4.003789E+8,4328
1521118817.440007620,4.379824E+8,4653
1521118817.450007655,6.295923E+8,5953
1521118817.460007541,3.863382E+8,4283
1521118817.470007434,3.936505E+8,4314
1521118817.480006374,3.146660E+8,3709
1521118817.490006335,4.343388E+8,4545
1521118817.500007480,4.241627E+8,4457
1521118817.510008723,5.481976E+8,5301
1521118817.520007662,4.583182E+8,4721
1521118817.530006967,5.094138E+8,5034
1521118817.540006198,4.170461E+8,4411
1521118817.550006695,4.142346E+8,4356
1521118817.560006969,4.697841E+8,4650
1521118817.570007443,5.448310E+8,5291
1521118817.580007233,4.620182E+8,4682
1521118817.590011187,5.597170E+8,5382
1521118817.600006342,5.577046E+8,5433
1521118817.610006616,5.165222E+8,5115
1521118817.620006047,5.246411E+8,5155
1521118817.630007185,4.632649E+8,4760
1521118817.640006043,5.796287E+8,5699
1521118817.650007159,4.374536E+8,4703
1521118817.660007387,3.652227E+8,4209
1521118817.670008227,4.080825E+8,4412
1521118817.680010319,4.259940E+8,4329
1521118817.690006293,4.487704E+8,4697
1521118817.700007454,4.735374E+8,4850
1521118817.710006006,4.491854E+8,4912
1521118817.720007375,3.985790E+8,4272
1521118817.730006389,4.495056E+8,4647
1521118817.740006685,4.417617E+8,4588
1521118817.750006333,4.010683E+8,4269
1521118817.760006063,4.325441E+8,4587
1521118817.770007327,4.640060E+8,4782
1521118817.780012846,3.858582E+8,4149
1521118817.790006906,3.497952E+8,3963
1521118817.800007708,5.356686E+8,5267
1521118817.810006358,3.416908E+8,3843
1521118817.820007071,3.793846E+8,4265
1521118817.830006503,4.179030E+8,4356
1521118817.840006217,3.832508E+8,4155
1521118817.850006543,3.881679E+8,4200
1521118817.860007338,4.659736E+8,4647
1521118817.870006494,4.327139E+8,4594
1521118817.880015992,4.911868E+8,4998
1521118817.890007034,4.790418E+8,4846
1521118817.900009386,4.126181E+8,4395
1521118817.910011113,4.643653E+8,4787
1521118817.920011789,4.014711E+8,4383
1521118817.930006593,3.869370E+8,4200
1521118817.940010384,3.724080E+8,4176
1521118817.950006716,5.360242E+8,5419
1521118817.960006654,4.049143E+8,4430
1521118817.970006570,4.046389E+8,4413
1521118817.980006672,4.681992E+8,4894
1521118817.990006119,4.649084E+8,4836
1521118818.000007354,5.425780E+8,5428
1521118818.010006793,4.771886E+8,4852
1521118818.020009801,4.414442E+8,4601
1521118818.030009381,4.150999E+8,4419
1521118818.040009379,5.391992E+8,5241
1521118818.050011151,4.775749E+8,4790
1521118818.060007766,3.535438E+8,3947
1521118818.070006989,3.919213E+8,4195
1521118818.080007546,4.729377E+8,4809
1521118818.090010256,5.051754E+8,5006
1521118818.100006908,4.329206E+8,4490
1521118818.110006653,3.865078E+8,4183
1521118818.120008364,4.126923E+8,4419
1521118818.130006701,4.094445E+8,4413
1521118818.140006982,3.980149E+8,4419
1521118818.150008909,3.924434E+8,4410
1521118818.160009667,4.454712E+8,4632
1521118818.170006953,5.560323E+8,5368
1521118818.180007502,4.797668E+8,4831
1521118818.190007046,5.505675E+8,5342
1521118818.200009927,4.121870E+8,4475
1521118818.210006222,6.152188E+8,5762
1521118818.220006615,5.165148E+8,5077
1521118818.230005994,3.657540E+8,4139
1521118818.240006544,3.623084E+8,4067
1521118818.250009529,4.067494E+8,4312
1521118818.260013029,4.339914E+8,4478
1521118818.270007439,4.418728E+8,4576
1521118818.280007511,3.868019E+8,4184
1521118818.290007196,4.213585E+8,4336
1521118818.300007403,5.178807E+8,5134
1521118818.310006745,4.947357E+8,5012
1521118818.320006102,4.661992E+8,4715
1521118818.330015816,5.071929E+8,5055
1521118818.340008661,4.844379E+8,5096
1521118818.350007378,3.710324E+8,4112
1521118818.360007040,4.567884E+8,4820
1521118818.370007411,3.718876E+8,4075
1521118818.380007572,4.469444E+8,4619
1521118818.390006453,3.781339E+8,4225
1521118818.400007501,5.795510E+8,5592
1521118818.410006754,3.624529E+8,4067
1521118818.420015350,4.082692E+8,4453
1521118818.430006683,4.029304E+8,4355
1521118818.440006666,5.259239E+8,5216
1521118818.450008065,5.012560E+8,5111
1521118818.460008711,4.926948E+8,4945
1521118818.470007278,4.378808E+8,4604
1521118818.480017565,4.595029E+8,4793
1521118818.490007386,4.426875E+8,4700
1521118818.500014782,3.836838E+8,4276
1521118818.510007083,4.411752E+8,4565
1521118818.520010799,5.486562E+8,5412
1521118818.530010551,3.700819E+8,4083
1521118818.540009432,4.061873E+8,4472
1521118818.550009817,4.116038E+8,4449
1521118818.560009167,5.145044E+8,5049
1521118818.570006713,4.834169E+8,4835
1521118818.580013953,5.505857E+8,5415
1521118818.590007044,4.720198E+8,4815
1521118818.600011811,4.393704E+8,4607
1521118818.610007368,4.648198E+8,4773
1521118818.620014183,3.581544E+8,4066
1521118818.630006820,4.145133E+8,4225
1521118818.640006855,3.943908E+8,4357
1521118818.650007941,3.148743E+8,3655
1521118818.660009861,4.906846E+8,5022
1521118818.670007266,5.895890E+8,5532
1521118818.680006154,5.846634E+8,5533
1521118818.690011002,4.583502E+8,4649
1521118818.700012676,5.228375E+8,5209
1521118818.710007630,5.309553E+8,5394
1521118818.720007122,3.881645E+8,4433
1521118818.730011851,4.875428E+8,4885
1521118818.740010634,4.308065E+8,4562
1521118818.750008129,6.129211E+8,5805
1521118818.760008149,4.684302E+8,4836
1521118818.770006210,4.123548E+8,4413
1521118818.780008420,3.938455E+8,4284
1521118818.790006161,4.288977E+8,4569
1521118818.800007991,5.214110E+8,5152
1521118818.810006090,4.748486E+8,4874
1521118818.820007347,4.700310E+8,4833
1521118818.830006354,4.037813E+8,4336
1521118818.840007581,4.778753E+8,4813
1521118818.850007467,3.909834E+8,4302
1521118818.860008255,4.995539E+8,4975
1521118818.870007172,4.503785E+8,4612
1521118818.880007118,4.753611E+8,4896
1521118818.890014820,4.948056E+8,5119
1521118818.900006227,4.352034E+8,4591
1521118818.910007909,3.580558E+8,4035
1521118818.920007698,4.458221E+8,4656
1521118818.930006094,4.613504E+8,4682
1521118818.940007709,5.378761E+8,5314
1521118818.950006381,4.235473E+8,4579
1521118818.960008539,4.043948E+8,4471
1521118818.970009699,4.592575E+8,4810
1521118818.980006583,4.311904E+8,4521
1521118818.990017064,5.092525E+8,5094
1521118819.000014029,3.791257E+8,4300
1521118819.010006264,4.856875E+8,4930
1521118819.020007521,3.848501E+8,4162
1521118819.030010313,4.108150E+8,4483
1521118819.040008821,4.639402E+8,4873
1521118819.050008520,5.293437E+8,5130
1521118819.060008727,4.517240E+8,4890
1521118819.070006423,4.984730E+8,5026
1521118819.080007523,5.516389E+8,5369
1521118819.090028793,5.053353E+8,5177
1521118819.100006893,3.746583E+8,4180
1521118819.110007808,4.929439E+8,4922
1521118819.120006047,4.466648E+8,4691
1521118819.130008571,4.647245E+8,4772
1521118819.140007049,3.514182E+8,3918
1521118819.150006399,4.598990E+8,4732
1521118819.160008915,4.346013E+8,4577
1521118819.170008525,5.746256E+8,5467
1521118819.180006489,4.541083E+8,4677
1521118819.190007150,5.697385E+8,5583
1521118819.200006895,6.447132E+8,5904
1521118819.210008770,5.103172E+8,5056
1521118819.220009029,5.718084E+8,5545
1521118819.230009034,4.775996E+8,4842
1521118819.240009055,4.057355E+8,4349
1521118819.250008613,3.580162E+8,4112
1521118819.260009043,4.004076E+8,4318
1521118819.270009607,3.829508E+8,4267
1521118819.280006140,5.135146E+8,5105
1521118819.290009253,4.420691E+8,4584
1521118819.300007269,4.267419E+8,4455
1521118819.310009547,4.053702E+8,4425
1521118819.320006564,4.658028E+8,4813
1521118819.330008246,4.450752E+8,4563
1521118819.340008587,3.720102E+8,4180
1521118819.350008562,3.494919E+8,4026
1521118819.360006310,4.080467E+8,4529
1521118819.370008297,3.824828E+8,4182
1521118819.380013250,4.128644E+8,4299
1521118819.390009351,4.030904E+8,4327
1521118819.400006592,5.151027E+8,5216
1521118819.410006978,5.702950E+8,5660
1521118819.420010939,5.797791E+8,5461
1521118819.430008180,4.973189E+8,5028
1521118819.440006033,5.631537E+8,5381
1521118819.450006157,5.255020E+8,5126
1521118819.460006543,4.596742E+8,4617
1521118819.470014647,4.258210E+8,4486
1521118819.480006516,5.073276E+8,5151
1521118819.490006305,4.767692E+8,4863
1521118819.500007175,5.852030E+8,5754
1521118819.510006927,4.512332E+8,4587
1521118819.520007543,4.009907E+8,4252
1521118819.530006632,4.971195E+8,5068
1521118819.540006660,3.945242E+8,4423
1521118819.550015442,3.815681E+8,4307
1521118819.560009658,5.074160E+8,5137
1521118819.570006363,4.870095E+8,4980
1521118819.580009341,5.082494E+8,5101
1521118819.590008423,3.199675E+8,3696
1521118819.600007154,4.454629E+8,4632
1521118819.610006519,5.660593E+8,5398
1521118819.620006107,4.977733E+8,5007
1521118819.630006678,6.052149E+8,5577
1521118819.640009291,4.789119E+8,4954
1521118819.650006458,4.415917E+8,4660
1521118819.660007514,4.020530E+8,4235
1521118819.670013353,4.261562E+8,4485
1521118819.680005990,4.253274E+8,4526
1521118819.690006569,4.669199E+8,4802
1521118819.700010329,5.275112E+8,5127
1521118819.710008711,4.358599E+8,4517
1521118819.720009416,5.336878E+8,5314
1521118819.730006963,5.613456E+8,5580
1521118819.740006514,4.393704E+8,4612
1521118819.750007406,5.132185E+8,5179
1521118819.760007061,4.114730E+8,4435
1521118819.770006239,5.144612E+8,5151
1521118819.780006483,4.837584E+8,4896
1521118819.790006071,4.410780E+8,4583
1521118819.800006635,4.201508E+8,4450
1521118819.810010120,4.361240E+8,4635
1521118819.820006780,4.285446E+8,4440
1521118819.830006078,4.301278E+8,4486
1521118819.840006262,3.432092E+8,3825
1521118819.850006342,3.676175E+8,4060
1521118819.860007331,3.952029E+8,4377
1521118819.870010242,4.029582E+8,4271
1521118819.880006731,4.158832E+8,4342
1521118819.890007272,4.416138E+8,4595
1521118819.900006048,4.017144E+8,4309
1521118819.910007149,3.415357E+8,3847
1521118819.920006469,4.549360E+8,4673
1521118819.930007622,3.403824E+8,3967
1521118819.940007269,3.760668E+8,4086
1521118819.950011671,4.254730E+8,4411
1521118819.960006960,3.546752E+8,3988
1521118819.970007733,3.824400E+8,4023
1521118819.980006911,3.797696E+8,4172
1521118819.990006514,3.753663E+8,4127
1521118820.000007123,4.352665E+8,4483
1521118820.010007314,3.744798E+8,4118
1521118820.020007722,3.406776E+8,3794
1521118820.030007921,3.302952E+8,3870
1521118820.040008433,2.782754E+8,3515
1521118820.050007127,4.215416E+8,4411
1521118820.060007371,5.185045E+8,4990
1521118820.070007257,5.471644E+8,5239
1521118820.080010839,3.461477E+8,3948
1521118820.090009496,3.531616E+8,4026
1521118820.100006007,4.190281E+8,4306
1521118820.110006623,4.111014E+8,4377
1521118820.120007053,3.887412E+8,4184
1521118820.130006909,4.606667E+8,4742
1521118820.140006870,4.861703E+8,4787
1521118820.150006495,3.310520E+8,3846
1521118820.160007939,3.705991E+8,4106
1521118820.170006789,5.059939E+8,4951
1521118820.180007368,6.398883E+8,5768
1521118820.190006234,4.495647E+8,4634
1521118820.200007036,4.264447E+8,4613
1521118820.210006520,4.645020E+8,4797
1521118820.220011771,4.089667E+8,4374
1521118820.230008081,5.120604E+8,5044
1521118820.240011714,5.092345E+8,4951
1521118820.250006542,5.513972E+8,5289
1521118820.260007955,5.207496E+8,5094
1521118820.270006739,3.676074E+8,4053
1521118820.280006342,4.556206E+8,4827
1521118820.290006429,4.347137E+8,4486
1521118820.300006144,5.722444E+8,5467
1521118820.310006462,3.916198E+8,4152
1521118820.320006900,3.501974E+8,3889
1521118820.330007352,4.349210E+8,4480
1521118820.340006739,4.823613E+8,4874
1521118820.350012057,4.760069E+8,4799
1521118820.360006243,3.721548E+8,4182
1521118820.370006956,4.832420E+8,4877
1521118820.380006142,5.200130E+8,5102
1521118820.390007220,4.998859E+8,4952
1521118820.400006235,3.791195E+8,4144
1521118820.410008423,3.912803E+8,4312
1521118820.420007035,5.434884E+8,5100
1521118820.430010088,3.694655E+8,4047
1521118820.440009117,3.607850E+8,3982
1521118820.450011335,4.245953E+8,4323
1521118820.460006177,6.882172E+8,6212
1521118820.470006742,5.432050E+8,5355
1521118820.480012938,4.051633E+8,4398
1521118820.490013510,4.533009E+8,4723
1521118820.500006601,4.924240E+8,4895
1521118820.510009013,4.016924E+8,4320
1521118820.520007759,4.502609E+8,4633
1521118820.530006826,3.712364E+8,3980
1521118820.540012792,4.480665E+8,4564
1521118820.550006948,4.462146E+8,4570
1521118820.560011901,5.949754E+8,5624
1521118820.570006505,5.372232E+8,5142
1521118820.580016337,4.356429E+8,4520
1521118820.590008214,4.328055E+8,4486
1521118820.600007102,4.114987E+8,4442
1521118820.610013112,4.649623E+8,4767
1521118820.620006010,5.032466E+8,5069
1521118820.630006023,4.068079E+8,4381
1521118820.640006647,4.705867E+8,4915
1521118820.650006555,5.125652E+8,5031
1521118820.660009123,6.513219E+8,6075
1521118820.670015797,5.089427E+8,5220
1521118820.680006042,3.733937E+8,4258
1521118820.690006115,3.836942E+8,4128
1521118820.700006276,4.322757E+8,4562
1521118820.710006751,3.859651E+8,4267
1521118820.720006257,4.388757E+8,4661
1521118820.730006866,4.602755E+8,4832
1521118820.740008451,3.961358E+8,4195
1521118820.750011466,4.126686E+8,4367
1521118820.760006905,4.702635E+8,4910
1521118820.770011932,5.081584E+8,5083
1521118820.780009247,3.789200E+8,4224
1521118820.790010072,4.645227E+8,4737
1521118820.800009698,4.351280E+8,4611
1521118820.810006633,4.458001E+8,4681
1521118820.820006929,4.848252E+8,4920
