timestamp,byterate,packNum
1521118842.000006266,3.11503E+8,372
1521118842.001006812,3.11572E+8,380
1521118842.002011225,3.61755E+8,397
1521118842.003010057,3.86286E+8,399
1521118842.004009269,5.52902E+8,562
1521118842.005011491,3.43654E+8,398
1521118842.006008469,4.75591E+8,491
1521118842.007007577,3.89581E+8,431
1521118842.008006059,4.60922E+8,508
1521118842.009006701,5.40900E+8,550
1521118842.010006830,4.69816E+8,477
1521118842.011008196,4.91778E+8,494
1521118842.012011647,4.34931E+8,489
1521118842.013006262,3.41840E+8,400
1521118842.014010161,3.41712E+8,396
1521118842.015012011,2.92806E+8,340
1521118842.016010135,5.29850E+8,537
1521118842.017008163,4.36430E+8,472
1521118842.018010519,4.62883E+8,484
1521118842.019006349,4.76546E+8,492
1521118842.020011909,3.91103E+8,392
1521118842.021007441,5.11007E+8,503
1521118842.022006206,4.87356E+8,527
1521118842.023006558,2.66297E+8,343
1521118842.024006300,2.95967E+8,340
1521118842.025011465,4.48143E+8,467
1521118842.026013248,3.86334E+8,393
1521118842.027006559,3.64500E+8,379
1521118842.028006129,4.09238E+8,422
1521118842.029006772,4.35312E+8,474
1521118842.030007772,5.13144E+8,512
1521118842.031007655,4.46010E+8,485
1521118842.032010354,2.60675E+8,341
1521118842.033008546,3.35361E+8,384
1521118842.034006327,2.81810E+8,338
1521118842.035010368,2.76473E+8,344
1521118842.036018386,3.09726E+8,363
1521118842.037008561,4.41656E+8,498
1521118842.038006403,5.89394E+8,536
1521118842.039005995,6.64992E+8,604
1521118842.040018655,6.57852E+8,620
1521118842.041006424,5.61581E+8,577
1521118842.042010151,5.31116E+8,511
1521118842.043008335,6.50754E+8,607
1521118842.044006705,5.81045E+8,552
1521118842.045007080,2.60338E+8,371
1521118842.046017185,1.84899E+8,274
1521118842.047012873,3.58668E+8,385
1521118842.048006333,3.85120E+8,423
1521118842.049006619,3.63421E+8,421
1521118842.050006025,4.22212E+8,457
1521118842.051010340,4.56897E+8,464
1521118842.052006587,4.22167E+8,419
1521118842.053009428,3.86754E+8,417
1521118842.054006077,3.15783E+8,385
1521118842.055006139,4.41982E+8,446
1521118842.056016952,3.90163E+8,417
1521118842.057010569,3.81084E+8,415
1521118842.058010645,4.15860E+8,428
1521118842.059006900,4.15999E+8,456
1521118842.060007259,4.35731E+8,458
1521118842.061007127,3.43838E+8,394
1521118842.062007092,4.88093E+8,494
1521118842.063006923,6.09407E+8,574
1521118842.064006589,5.23126E+8,513
1521118842.065006465,5.71806E+8,534
1521118842.066006891,5.50823E+8,527
1521118842.067007117,5.38865E+8,520
1521118842.068010435,5.59063E+8,524
1521118842.069014557,5.56901E+8,538
1521118842.070006981,5.63308E+8,534
1521118842.071014106,4.07461E+8,437
1521118842.072007008,3.74685E+8,417
1521118842.073006928,4.93291E+8,492
1521118842.074007161,6.84232E+8,615
1521118842.075010441,5.83994E+8,549
1521118842.076006845,4.08954E+8,415
1521118842.077007256,6.18637E+8,585
1521118842.078006789,4.40811E+8,462
1521118842.079007462,4.08640E+8,430
1521118842.080006666,4.64385E+8,475
1521118842.081006363,4.70564E+8,487
1521118842.082010463,4.24114E+8,458
1521118842.083007231,4.38330E+8,460
1521118842.084007792,3.66105E+8,428
1521118842.085010216,3.57530E+8,380
1521118842.086010404,2.88714E+8,355
1521118842.087006211,2.39671E+8,340
1521118842.088006102,3.60848E+8,390
1521118842.089011818,3.28427E+8,384
1521118842.090006232,3.28751E+8,397
1521118842.091007300,3.58859E+8,436
1521118842.092006236,3.05733E+8,352
1521118842.093011297,3.91572E+8,416
1521118842.094015710,3.21058E+8,365
1521118842.095013224,3.44824E+8,372
1521118842.096008219,2.95840E+8,359
1521118842.097006589,3.77230E+8,400
1521118842.098009929,3.44293E+8,384
1521118842.099007435,3.63467E+8,393
1521118842.100010186,4.67969E+8,456
1521118842.101007089,3.73338E+8,430
1521118842.102007195,2.70200E+8,334
1521118842.103008136,4.23369E+8,451
1521118842.104006089,2.99719E+8,348
1521118842.105009750,4.45271E+8,463
1521118842.106009983,3.95612E+8,418
1521118842.107006200,4.45800E+8,439
1521118842.108013339,4.14806E+8,433
1521118842.109006397,3.79257E+8,407
1521118842.110006832,5.78834E+8,525
1521118842.111006029,3.53901E+8,376
1521118842.112017520,3.14477E+8,365
1521118842.113006689,3.06359E+8,362
1521118842.114006825,3.44029E+8,380
1521118842.115007095,6.02022E+8,578
1521118842.116006471,7.51957E+8,651
1521118842.117010109,4.19702E+8,439
1521118842.118006513,5.51916E+8,540
1521118842.119007237,5.84246E+8,553
1521118842.120010287,5.08477E+8,529
1521118842.121006325,6.20380E+8,589
1521118842.122008473,6.98633E+8,623
1521118842.123009570,4.60034E+8,476
1521118842.124008313,3.36407E+8,398
1521118842.125006177,2.99588E+8,375
1521118842.126007080,4.11018E+8,470
1521118842.127012104,4.78513E+8,501
1521118842.128007106,4.86903E+8,481
1521118842.129010543,8.74140E+8,745
1521118842.130006626,7.55298E+8,665
1521118842.131008059,5.90236E+8,566
1521118842.132006332,4.26602E+8,444
1521118842.133006267,3.29916E+8,378
1521118842.134007968,3.64560E+8,385
1521118842.135008566,3.85256E+8,416
1521118842.136010677,3.20691E+8,394
1521118842.137006857,3.11943E+8,364
1521118842.138006240,4.51297E+8,442
1521118842.139007069,5.32075E+8,518
1521118842.140006080,7.23917E+8,618
1521118842.141009688,7.65563E+8,652
1521118842.142006844,7.79977E+8,669
1521118842.143006608,8.87509E+8,741
1521118842.144006819,6.27964E+8,560
1521118842.145009600,4.46734E+8,441
1521118842.146007143,4.55533E+8,460
1521118842.147006169,5.52484E+8,544
1521118842.148006625,4.98066E+8,502
1521118842.149009608,3.97741E+8,442
1521118842.150009446,6.39301E+8,595
1521118842.151006036,5.69800E+8,541
1521118842.152010582,4.43241E+8,452
1521118842.153006800,4.27909E+8,437
1521118842.154008284,5.22378E+8,506
1521118842.155007400,4.69950E+8,456
1521118842.156007990,4.73756E+8,479
1521118842.157007359,5.31074E+8,602
1521118842.158006072,4.86929E+8,505
1521118842.159006022,4.56691E+8,471
1521118842.160010442,3.59886E+8,384
1521118842.161007643,2.56727E+8,316
1521118842.162006207,3.07736E+8,352
1521118842.163006887,3.14257E+8,356
1521118842.164006583,3.68093E+8,413
1521118842.165015996,3.37535E+8,401
1521118842.166011117,4.33703E+8,422
1521118842.167010427,4.80325E+8,489
1521118842.168007597,4.41080E+8,427
1521118842.169006623,5.63671E+8,512
1521118842.170005992,3.25921E+8,385
1521118842.171014361,3.23058E+8,365
1521118842.172013313,4.27067E+8,420
1521118842.173010632,4.72698E+8,469
1521118842.174007446,4.69554E+8,475
1521118842.175008699,4.28621E+8,439
1521118842.176008150,3.76205E+8,416
1521118842.177016519,3.43561E+8,382
1521118842.178009458,3.94474E+8,424
1521118842.179010227,3.36469E+8,379
1521118842.180006415,2.34450E+8,287
1521118842.181013517,3.93916E+8,412
1521118842.182007343,2.33692E+8,304
1521118842.183006160,2.27360E+8,306
1521118842.184007183,3.25014E+8,356
1521118842.185016535,2.94088E+8,357
1521118842.186012015,3.96667E+8,420
1521118842.187006079,2.16329E+8,268
1521118842.188009799,2.89371E+8,334
1521118842.189006604,4.24728E+8,441
1521118842.190007187,4.23440E+8,441
1521118842.191006355,4.18652E+8,444
1521118842.192007594,3.36567E+8,360
1521118842.193011843,5.03201E+8,485
1521118842.194006473,6.55706E+8,584
1521118842.195007190,4.07812E+8,451
1521118842.196010850,5.58984E+8,537
1521118842.197009407,3.92626E+8,409
1521118842.198006406,5.81227E+8,525
